

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.


queryDateTime:2019-10-01T08:46:21PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.	Object Name	RA	DEC	Type	Velocity	Redshift	Redshift Flag	Magnitude and Filter	Separation	References	Notes	Photometry Points	Positions	Redshift Points	Diameter Points	Associations
69	SDSS J011658.25-004916.3	 19.24274 	  -0.82121 	G	  -310	-0.001035 	SPEC	21.9g	  0.000	0	0	15	2	1	3	0
70	SDSS J011818.07+143757.8	 19.57532 	  14.63272 	G	   -18	-0.000061 	SPEC	21.3g	  0.000	2	0	15	2	1	4	0
71	SDSS J011819.95-011402.7	 19.58313 	  -1.23409 	G	   -53	-0.000178 	SPEC	19.0g	  0.000	0	0	15	2	1	4	0
72	SDSS J011820.28+140644.3	 19.58452 	  14.11232 	G	   -63	-0.000209 	SPEC	21.9g	  0.000	0	0	15	2	1	4	0
73	SDSS J012143.82+153135.3	 20.43259 	  15.52648 	G	   -24	-0.000081 	SPEC	18.5g	  0.000	0	0	15	2	1	3	0
74	SDSS J012215.67+003725.3	 20.56532 	   0.62371 	G	   -37	-0.000122 	SPEC	22.8g	  0.000	0	0	15	2	1	4	0
75	SDSS J012253.49+001733.7	 20.72289 	   0.29271 	G	   -27	-0.000090 	SPEC	21.6g	  0.000	1	0	15	2	1	4	0
76	SDSS J012322.60+005905.0	 20.84418 	   0.98475 	G	  -995	-0.003318 	SPEC	19.7g	  0.000	0	0	15	2	1	4	0
77	SDSS J012538.76-011140.7	 21.41150 	  -1.19466 	G	   -32	-0.000108 	SPEC	21.0g	  0.000	2	0	15	3	2	4	1
78	SDSS J012543.45-001540.8	 21.43104 	  -0.26135 	G	  -210	-0.000702 	SPEC	21.4g	  0.000	2	0	15	2	1	4	0
79	SDSS J012603.80-003308.8	 21.51587 	  -0.55246 	G	  -924	-0.003081 	SPEC	19.9g	  0.000	0	0	15	2	1	4	0
80	SDSS J012824.90+004642.9	 22.10377 	   0.77860 	G	   -72	-0.000240 	SPEC	22.0g	  0.000	1	0	15	2	1	4	0
