

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is operated by the Jet Propulsion Laboratory, California Institute of
Technology, under contract with the National Aeronautics and Space Administration.
This work was (partially) supported by the US National Virtual Observatory
development project, which is funded by the National Science Foundation
under cooperative agreement AST0122449 with The Johns Hopkins University.



queryDateTime:2019-10-14T16:31:01PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
145|WISEA J001918.09+004106.0|  4.82540 |   0.68511 |G|   -48|-0.000159 |SPEC|18.5g|  0.000|1|0|33|4|1|4|0
146|WISEA J001955.05-001227.9|  4.97929 |  -0.20774 |G|    -9|-0.000030 |SPEC|19.6g|  0.000|0|0|37|6|1|6|0
147|SDSS J002000.24-003052.1|  5.00101 |  -0.51450 |G|   -58|-0.000192 |SPEC|18.8g|  0.000|0|0|9|4|1|4|0
148|WISEA J002000.80+140729.7|  5.00345 |  14.12482 |G|  -186|-0.000622 |SPEC|21.3g|  0.000|0|0|27|3|1|4|0
149|SDSS J002008.22-101342.6|  5.03428 | -10.22851 |G|  -171|-0.000571 |SPEC|19.6g|  0.000|0|0|14|6|2|4|0
150|WISEA J002015.48+150613.2|  5.06431 |  15.10379 |G|   -22|-0.000072 |SPEC|22.4g|  0.000|2|0|27|3|1|4|0
151|SDSS J002021.44-011148.4|  5.08937 |  -1.19679 |G|  -118|-0.000395 |SPEC|21.8g|  0.000|0|0|15|2|1|4|0
152|WISEA J002023.48+001642.0|  5.09783 |   0.27837 |G|    -3|-0.000011 |SPEC|20.7g|  0.000|0|0|33|4|1|4|0
153|2MASS J00203077-0045267|  5.12807 |  -0.75752 |G|   -12|-0.000040 |SPEC|19.7g|  0.000|0|0|12|6|3|4|0
154|2MASS J00203117-0034007|  5.12984 |  -0.56686 |G|  -196|-0.000653 |SPEC|19.7g|  0.000|0|0|11|4|1|4|0
155|SDSS J002032.64-011200.7|  5.13600 |  -1.20022 |G|  -155|-0.000517 |SPEC|21.4g|  0.000|1|0|15|2|1|4|0
156|WISEA J002044.66+000107.3|  5.18612 |   0.01880 |G|   -66|-0.000221 |SPEC|19.6g|  0.000|0|0|24|5|1|4|0
157|WISEA J002044.77-001443.1|  5.18651 |  -0.24532 |G|   -57|-0.000191 |SPEC|19.7g|  0.000|0|0|23|6|2|4|0
158|SDSS J002047.26+134501.7|  5.19696 |  13.75047 |G|   -10|-0.000033 |SPEC|22.4g|  0.000|0|0|15|2|1|4|0
159|2MASS J00204948-0009537|  5.20607 |  -0.16513 |G|   -21|-0.000071 |SPEC|19.7g|  0.000|0|0|11|4|1|4|0
160|SDSS J002109.84-005923.4|  5.29103 |  -0.98985 |G|  -931|-0.003104 |SPEC|22.1g|  0.000|1|0|15|2|1|4|0
161|WISEA J002120.37+320438.4|  5.33508 |  32.07739 |G|   -44|-0.000147 |SPEC|     |  0.000|0|0|27|4|1|2|0
162|WISEA J002127.94-004212.8|  5.36627 |  -0.70359 |G|   -49|-0.000164 |SPEC|18.9g|  0.000|0|0|34|5|1|4|0
163|WISEA J002134.52+285113.3|  5.39369 |  28.85366 |G|  -128|-0.000427 |    |     |  0.000|1|0|12|2|1|0|0
164|SDSS J002135.31+151516.2|  5.39715 |  15.25453 |G|   -10|-0.000035 |SPEC|20.0g|  0.000|0|0|15|2|1|4|0
165|WISEA J002139.67-005230.9|  5.41524 |  -0.87518 |G|   -20|-0.000068 |SPEC|19.6g|  0.000|0|0|24|6|2|4|0
166|SDSS J002150.16+003850.9|  5.45903 |   0.64749 |G|   -57|-0.000191 |SPEC|21.0g|  0.000|0|0|15|2|1|4|0
167|WISEA J002150.26+000356.5|  5.45948 |   0.06566 |G|   -16|-0.000055 |SPEC|19.6g|  0.000|0|0|24|6|2|4|0
168|2MASS J00220172-0401552|  5.50697 |  -4.03190 |G|   -55|-0.000182 |SPEC|19.08|  0.000|1|0|9|5|1|0|0
169|WISEA J002205.91+004344.2|  5.52466 |   0.72902 |G|   -37|-0.000123 |SPEC|18.4g|  0.000|0|0|24|6|2|4|0
170|WISEA J002206.72+001648.7|  5.52801 |   0.28023 |G|    -3|-0.000010 |SPEC|18.8g|  0.000|0|0|24|5|1|4|0
171|2MASS J00221480-0007455|  5.56183 |  -0.12952 |G|   -24|-0.000079 |SPEC|20.1g|  0.000|2|0|21|3|1|4|0
172|WISEA J002217.58+012723.8|  5.57285 |   1.45640 |G|   -91|-0.000305 |SPEC|19.43|  0.000|1|0|17|5|1|0|0
173|WISEA J002225.10+003226.3|  5.60472 |   0.54071 |G|   -35|-0.000116 |SPEC|20.8g|  0.000|1|0|35|5|1|4|0
174|WISEA J002236.65-003502.1|  5.65272 |  -0.58387 |G|   -40|-0.000134 |SPEC|20.2g|  0.000|0|0|28|6|1|4|0
175|SDSS J002258.30-002304.3|  5.74294 |  -0.38459 |G|   -25|-0.000084 |SPEC|17.2g|  0.000|0|0|15|2|1|4|0
176|SDSS J002316.11+135706.7|  5.81717 |  13.95183 |G|   -30|-0.000099 |SPEC|21.4g|  0.000|2|0|15|2|1|4|0
177|SDSS J002324.46-001640.8|  5.85196 |  -0.27802 |G|   -60|-0.000201 |SPEC|21.7g|  0.000|1|0|15|2|1|4|0
178|WISEA J002352.66+010747.0|  5.96940 |   1.12967 |G|   -92|-0.000308 |SPEC|20.3g|  0.000|0|0|24|6|2|3|0
179|2MASS J00243182-1110374|  6.13265 | -11.17714 |G|  -125|-0.000417 |SPEC|17.6g|  0.000|0|0|18|6|1|4|0
180|SDSS J002434.45-002144.8|  6.14354 |  -0.36247 |G| -1205|-0.004020 |SPEC|22.1g|  0.000|0|0|15|3|2|3|0
