Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J002311.36-001944.8,5.79737,-0.32899,701753,2.340795,21.5g
WISEA J002311.89-002255.7,5.7994699999999995,-0.38215,1214726,4.051889,21.4g
WISEA J002316.79-035310.5,5.82026,-3.8860099999999997,652003,2.174847,19.73
SDSS J002329.58-011255.7,5.87333,-1.2155200000000002,684390,2.28288,22.0g
WISEA J002330.74-001835.7,5.87784,-0.3102,1518413,5.064881,25.9g
WISEA J002411.11-004418.4,6.04631,-0.73843,365747,1.22,21.3g
SDSS J002411.40-003201.3,6.04753,-0.5337,332770,1.11,20.0g
SDSS J002425.59+000347.5,6.1066400000000005,0.06321,899378,3.0,21.5g
WISEA J002430.22-010153.3,6.1260699999999995,-1.0315299999999998,431701,1.44,21.3g
SDSS J002432.41-001914.6,6.13507,-0.32073,401722,1.34,20.9g
WISEA J002433.98-005350.7,6.14141,-0.8974200000000001,300867,1.003585,24.4g
SDSS J002435.19-004356.6,6.1466400000000005,-0.73242,368745,1.23,21.9g
WISEA J002438.05+142822.4,6.15862,14.472879999999998,366346,1.222,22.3g
SDSS J002438.40+002837.7,6.16003,0.47716000000000003,353755,1.18,21.0g
WISEA J002510.29-104748.4,6.29283,-10.79685,346260,1.155,20.2g
SDSS J002517.00-002751.9,6.320880000000001,-0.46443,667751,2.227376,21.6g
SDSS J002519.94+000616.3,6.33312,0.10455,398724,1.33,21.7g
WISEA J002551.50-003958.0,6.4646300000000005,-0.66606,344761,1.15,20.8g
SDSS J002554.91+000554.7,6.4788,0.09854,311784,1.04,23.0g
WISEA J002555.05-105352.4,6.47941,-10.89805,457184,1.525,20.09
WISEA J002556.58+170835.0,6.48583,17.14311,863762,2.881201,20.2V
SDSS J002600.83-003435.8,6.50347,-0.57663,398724,1.33,21.2g
WISEA J002602.75+145018.4,6.511419999999999,14.83845,784939,2.618275,20.9g
SDSS J002605.69+142017.8,6.52374,14.3383,822330,2.7429959999999998,21.4g
WISEA J002610.12-000321.4,6.54216,-0.05587,1264870,4.21915,23.5g
WISEA J002616.53+002453.9,6.5689,0.41501000000000005,1141823,3.8087120000000003,22.1g
SDSS J002619.08-003530.9,6.57952,-0.5919300000000001,380736,1.27,21.5g
WISEA J002620.36+170409.0,6.584919999999999,17.06869,770587,2.5704,21.3V
