Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J002548.52-003307.7,6.45217,-0.5521699999999999,259092,0.864238,21.4g
SDSS J002608.47-000741.6,6.53533,-0.12822999999999998,296795,0.99,21.7g
WISEA J002613.87+144123.1,6.55785,14.6897,239831,0.799991,23.0g
WISEA J002628.44+161431.5,6.61857,16.24211,278393,0.9286190000000001,22.0g
WISEA J002651.10+160021.8,6.71267,16.00595,288333,0.961774,22.0g
WISEA J002659.75+002352.4,6.7491,0.39808000000000004,238219,0.794612,22.3g
SDSS J002702.49-004458.7,6.7603800000000005,-0.74966,254824,0.85,22.0g
WISEA J002707.55+170617.2,6.78141,17.10514,283748,0.9464799999999999,20.2V
WISEA J002720.59-010403.9,6.835789999999999,-1.06769,296795,0.99,21.8g
WISEA J002723.83+003639.2,6.849239999999999,0.6108399999999999,239674,0.799465,21.6g
WISEA J002724.61-002212.8,6.85266,-0.37027,269740,0.899755,21.3g
WISEA J002738.62+145640.2,6.910889999999999,14.94449,234532,0.782313,23.1g
WISEA J002742.62+001207.0,6.9275899999999995,0.20215,237978,0.793808,22.5g
WISEA J002800.92-011026.4,7.00387,-1.17405,256330,0.855025,22.3g
WISEA J002814.52+005502.1,7.06073,0.9172799999999999,294619,0.982743,21.2g
SDSS J002831.77+000807.4,7.1324,0.13541,245830,0.82,22.4g
WISEA J002838.01-000738.7,7.15845,-0.12744,258176,0.861183,20.9g
WISEA J002841.75+003241.0,7.174010000000001,0.54471,248828,0.83,21.2g
WISEA J002855.56+154219.5,7.231510000000001,15.705470000000002,270441,0.902093,21.2g
WISEA J002900.58+002515.6,7.25243,0.42113,233316,0.778259,22.1g
WISEA J002904.01+000429.5,7.26652,0.0748,281749,0.9398120000000001,20.4g
WISEA J002905.97+001845.5,7.2748800000000005,0.31266,279756,0.9331659999999999,20.5g
WISEA J002933.23-003506.3,7.388510000000001,-0.58521,243541,0.8123640000000001,22.3g
SDSS J002938.96-003318.0,7.412380000000001,-0.55498,268276,0.8948729999999999,21.9g
SDSS J002957.01+153203.2,7.48756,15.534229999999999,265241,0.884749,23.1g
WISEA J003011.19+010909.4,7.5468,1.15259,243333,0.8116720000000001,22.2g
WISEA J003031.65+010830.3,7.63179,1.14189,230328,0.768293,21.4g
SDSS J003041.36-000942.5,7.67237,-0.16180999999999998,290597,0.9693280000000001,19.8g
WISEA J003128.95+011137.0,7.87067,1.19367,230105,0.767548,22.9g
WISEA J003148.50+011005.2,7.952260000000001,1.1682,269120,0.8976860000000001,21.8g
WISEA J003207.62-002354.4,8.031789999999999,-0.39858000000000005,249299,0.831573,20.8g
WISEA J003226.01+001138.9,8.1086,0.19396,235456,0.785397,22.4g
WISEA J003228.56-085840.1,8.11894,-8.9778,262318,0.875,19.69
WISEA J003235.53+155746.0,8.14827,15.9628,234319,0.781604,23.3g
WISEA J003256.76-004703.1,8.23653,-0.7842,248046,0.827391,22.3g
WISEA J003329.01-011213.9,8.3709,-1.2038799999999998,257822,0.86,23.2g
WISEA J003355.34-001540.8,8.48051,-0.26102,291912,0.9737120000000001,20.5g
WISEA J003357.57-003731.5,8.489889999999999,-0.62543,236741,0.789684,22.4g
WISEA J003358.97-004148.4,8.4957,-0.6967800000000001,236489,0.7888430000000001,19.5g
WISEA J003403.60-005220.6,8.51501,-0.87241,239576,0.799139,20.8g
SDSS J003423.93-011253.2,8.599730000000001,-1.21478,255234,0.851369,21.7g
WISEA J003440.36-010634.1,8.66812,-1.1095700000000002,236836,0.79,20.9g
WISEA J003443.71-010041.2,8.68211,-1.01121,255404,0.851937,20.7g
WISEA J003457.37-005812.8,8.73908,-0.97021,234460,0.7820729999999999,20.6g
SDSS J003522.05+010128.2,8.84191,1.02452,241122,0.804296,22.8g
WISEA J003528.80-003904.7,8.87027,-0.6513,225714,0.7529,20.9g
WISEA J003556.23+002814.3,8.984539999999999,0.47062,237855,0.7934,21.4g
SDSS J003609.52+010045.2,9.03967,1.01258,271699,0.9062889999999999,21.3g
WISEA J003616.07+010750.2,9.067169999999999,1.13069,253326,0.8450040000000001,22.2g
WISEA J003620.82-002321.9,9.086730000000001,-0.38939,232548,0.775695,22.7g
WISEA J003622.75+154006.5,9.0948,15.66849,239173,0.797795,22.6g
WISEA J003631.58+141520.1,9.13152,14.255629999999998,235698,0.786203,20.7r
WISEA J003655.47-092734.8,9.23118,-9.45968,262318,0.875,19.63
WISEA J003702.13+010905.7,9.25884,1.15163,243925,0.813647,21.6g
SDSS J003702.15-002320.3,9.259039999999999,-0.38900999999999997,298648,0.996181,21.9g
WISEA J003708.47+141110.1,9.28534,14.186029999999999,249793,0.833218,22.1g
WISEA J003719.90-002925.9,9.33275,-0.49031,246160,0.8211,20.5g
WISEA J003740.06+140321.8,9.41682,14.0558,282459,0.942183,22.1g
WISEA J003811.45-000432.1,9.54777,-0.07558,242743,0.809702,22.4g
WISEA J003811.96+010849.3,9.54987,1.14694,232164,0.774415,22.1g
WISEA J003813.22+000109.3,9.5551,0.01927,298167,0.9945780000000001,21.2g
SDSS J003816.07-011114.9,9.566980000000001,-1.18749,282542,0.942458,21.4g
WISEA J003821.99+141135.6,9.59168,14.19325,229457,0.765385,22.3g
WISEA J003839.49+134540.4,9.66467,13.76119,228147,0.761017,22.8g
WISEA J003916.26+004459.8,9.817639999999999,0.7499399999999999,298308,0.995049,22.6g
WISEA J003920.62+135628.6,9.83588,13.9413,261742,0.873078,25.2g
SDSS J003930.11+003432.0,9.87548,0.57557,238695,0.7962,19.6g
SDSS J003941.12+003413.5,9.92136,0.57043,230878,0.770125,21.4g
WISEA J003949.11+000527.6,9.95462,0.09111,238273,0.7947930000000001,21.8g
SDSS J004035.56+002329.8,10.1482,0.39161999999999997,253203,0.844593,21.7g
WISEA J004035.65+003515.1,10.14873,0.58739,230650,0.769364,22.1g
WISEA J004044.61+005812.8,10.186110000000001,0.9701200000000001,246280,0.8215030000000001,21.1g
WISEA J004058.79-000609.1,10.24511,-0.10248,252455,0.8421,21.7g
SDSS J004103.65-093342.0,10.26522,-9.561689999999999,246729,0.823,23.5g
WISEA J004112.33+003147.8,10.30142,0.53005,231230,0.7713,22.1g
WISEA J004122.03-094156.0,10.34169,-9.698889999999999,264807,0.8833,19.5g
WISEA J004128.45-011151.4,10.36858,-1.1976200000000001,235670,0.786112,22.1g
WISEA J004128.94-092837.1,10.370569999999999,-9.47702,277938,0.9271,22.7g
SDSS J004133.87+011247.0,10.39114,1.21307,232339,0.775,19.85
WISEA J004142.46+134045.3,10.42703,13.6793,228481,0.762129,22.9g
WISEA J004143.55+011053.2,10.43135,1.18141,229145,0.764347,22.2g
SDSS J004157.86-093516.4,10.49111,-9.58792,239204,0.7979,21.5g
WISEA J004200.89+000724.4,10.5038,0.12349,260962,0.870476,21.5g
WISEA J004210.02-003638.2,10.54177,-0.6106699999999999,253295,0.8449,21.3g
SDSS J004218.30+010354.0,10.576260000000001,1.06501,239224,0.7979649999999999,25.7g
WISEA J004220.87-094517.6,10.587,-9.75484,229221,0.7646,21.7g
WISEA J004227.58-095058.9,10.614889999999999,-9.84975,243611,0.8126,21.9g
WISEA J004230.30-092202.7,10.62669,-9.36744,292298,0.975,20.02
WISEA J004232.47+004417.6,10.63514,0.7383,231560,0.7724,21.8g
SDSS J004244.38-000552.6,10.685030000000001,-0.09742999999999999,234072,0.78078,23.5g
SDSS J004247.86-092522.5,10.69943,-9.422930000000001,248978,0.8305,23.7g
WISEA J004253.01+143655.8,10.72095,14.61553,227117,0.757582,21.5g
WISEA J004307.18+010421.0,10.77983,1.07234,272964,0.91051,21.7g
WISEA J004308.09-000256.5,10.783619999999999,-0.04895,278193,0.927951,22.1g
WISEA J004309.62-002046.0,10.79008,-0.34612,253355,0.8451,21.0g
WISEA J004332.74+141214.4,10.88643,14.20401,257024,0.857341,21.1g
WISEA J004401.23+010438.3,11.00516,1.07733,228246,0.761347,22.2g
WISEA J004415.74+010512.2,11.06569,1.08681,228140,0.760994,21.7g
WISEA J004430.78-003232.3,11.12827,-0.5423899999999999,226703,0.7562,24.0g
WISEA J004431.22-010000.6,11.13013,-1.00014,236021,0.78728,21.5g
WISEA J004445.30+010541.1,11.18866,1.0948799999999999,233605,0.779223,20.6g
WISEA J004450.90-005432.2,11.212,-0.90899,229581,0.7658,22.1g
WISEA J004503.76+011454.6,11.26569,1.24841,298985,0.9973059999999999,21.9g
WISEA J004510.39-004519.8,11.29326,-0.75542,242836,0.810012,21.4g
WISEA J004516.19+003301.6,11.31751,0.55056,261943,0.8737469999999999,20.8g
WISEA J004553.15+000030.2,11.47143,0.00843,236091,0.787516,22.7g
WISEA J004603.24+153323.7,11.51355,15.55652,232186,0.774489,22.4g
WISEA J004619.90-004230.9,11.58318,-0.70873,236040,0.787346,21.9g
WISEA J004630.48+001737.6,11.62691,0.29375,226888,0.756817,22.6g
WISEA J004631.50-002023.7,11.631260000000001,-0.33997,284473,0.948901,21.9g
WISEA J004639.76+003825.0,11.66572,0.64026,228379,0.76179,21.2g
WISEA J004645.19-003719.8,11.68838,-0.62216,248239,0.8280350000000001,21.5g
WISEA J004646.81+005634.8,11.695089999999999,0.94305,241703,0.806235,21.2g
WISEA J004706.37+002346.9,11.77675,0.39661,253191,0.844555,22.4g
WISEA J004715.24+154249.4,11.81345,15.71367,232579,0.775799,21.7g
WISEA J004733.61-005233.6,11.89011,-0.8759399999999999,243997,0.813886,21.7g
WISEA J004738.14+001815.7,11.90895,0.30438000000000004,230725,0.7696149999999999,20.8g
WISEA J004806.50-004805.1,12.02702,-0.8013,233130,0.777638,19.7g
WISEA J004811.44+001013.6,12.04772,0.17049,265851,0.886782,21.1g
WISEA J004832.33-003327.0,12.13464,-0.5576300000000001,227608,0.7592180000000001,20.9g
WISEA J004922.82-010601.2,12.345080000000001,-1.1003,229709,0.766227,20.3g
SDSS J004939.99+010334.0,12.41667,1.05945,266520,0.889015,21.3g
WISEA J004949.00+141407.3,12.45435,14.23546,231775,0.773119,21.2g
WISEA J004955.16-005007.7,12.479989999999999,-0.8355600000000001,232983,0.777146,20.6g
WISEA J005034.20+003210.5,12.64246,0.53632,245180,0.817832,20.1g
WISEA J005055.06+010501.7,12.72953,1.0840299999999998,238905,0.796901,21.4g
WISEA J005102.84+002843.5,12.76193,0.47868,240387,0.801844,21.6g
SDSS J005103.46+010229.4,12.76445,1.04152,249484,0.83219,21.4g
WISEA J005131.23+003940.2,12.88028,0.66105,234588,0.7825,22.0g
SDSS J005145.62+154057.4,12.94009,15.68264,236315,0.788262,21.8g
WISEA J005204.98-001518.6,13.0207,-0.2549,278147,0.9278,20.7g
SDSS J005213.41-003426.8,13.05589,-0.57413,250728,0.83634,22.1g
WISEA J005220.75+004302.2,13.08667,0.7169800000000001,233718,0.7796,21.5g
SDSS J005236.45-004928.6,13.15191,-0.82463,277938,0.9271,21.8g
WISEA J005251.64-010356.5,13.21521,-1.06574,260832,0.870043,22.8g
WISEA J005303.93+011610.9,13.26636,1.2697399999999999,260552,0.869109,19.92
WISEA J005352.93+000047.8,13.470379999999999,0.01323,266018,0.887342,22.7g
