Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
2MASS J00160844-0043021,4.0353,-0.7173,-3,-9e-06,19.8g
WISEA J001616.95-000431.6,4.07069,-0.07543,-28,-9.499999999999999e-05,19.5g
WISEA J001621.98+004308.8,4.09168,0.7189800000000001,-27,-9.1e-05,21.4g
SDSS J001624.18-105703.6,4.10078,-10.95101,-461,-0.001539,20.4g
WISEA J001630.50-003500.9,4.12705,-0.5835899999999999,-7,-2.5e-05,17.4g
WISEA J001700.06+003345.7,4.25026,0.56272,-142,-0.00047300000000000006,16.4g
SDSS J001700.09-095255.3,4.25041,-9.88205,-213,-0.000709,20.8g
WISEA J001700.58+010434.9,4.25241,1.0764,-14,-4.7e-05,16.0g
WISEA J001712.71+004106.6,4.302980000000001,0.6852199999999999,-16,-5.2000000000000004e-05,19.6g
WISEA J001719.14+144123.7,4.3297300000000005,14.689979999999998,-3,-1.1e-05,17.2g
WISEA J001722.78+000735.4,4.3448,0.1268,-34,-0.00011499999999999999,20.14
WISEA J001722.78-105123.3,4.34534,-10.85631,-227,-0.000758,18.2g
SDSS J001727.22-010934.3,4.3634900000000005,-1.15955,-30,-9.9e-05,20.5g
SDSS J001734.73-002106.5,4.3947400000000005,-0.35185,-54,-0.000181,23.0g
WISEA J001740.44+000340.3,4.41849,0.06125,-1,-3e-06,19.5g
WISEA J001744.05+005811.4,4.43349,0.9699,-386,-0.001288,15.8g
WISEA J001745.06+001203.1,4.43775,0.20084000000000002,-6,-1.9e-05,18.1g
WISEA J001752.49-010146.5,4.46879,-1.02955,-32,-0.000106,16.6g
WISEA J001755.72+145711.4,4.4824,14.953129999999998,-75,-0.000251,21.9g
WISEA J001759.57-001510.0,4.498130000000001,-0.25281,-69,-0.000229,18.6g
SDSS J001802.70+000924.3,4.51128,0.15678,-176,-0.000586,19.7g
WISEA J001814.20-100530.5,4.55917,-10.092,-104,-0.00034700000000000003,21.9g
SDSS J001822.29+134451.8,4.592890000000001,13.74775,-47,-0.000157,22.3g
WISEA J001822.84+005441.1,4.5951699999999995,0.9114700000000001,-19,-6.2e-05,20.5g
2MASS J00184170+0052572,4.67379,0.8825299999999999,-21,-7e-05,21.3g
WISEA J001846.88+001934.5,4.69515,0.32642,-1,-4e-06,21.4g
WISEA J001850.23-004157.3,4.70918,-0.69928,-48,-0.00015900000000000002,22.5g
SDSS J001855.30-001700.3,4.73044,-0.28342,-166,-0.000553,21.1g
WISEA J001918.09+004106.0,4.8254,0.68511,-48,-0.00015900000000000002,18.5g
WISEA J001955.05-001227.9,4.97929,-0.20774,-9,-2.9999999999999997e-05,19.6g
SDSS J002000.24-003052.1,5.00101,-0.5145,-58,-0.000192,18.8g
WISEA J002000.80+140729.7,5.00345,14.124820000000001,-186,-0.0006219999999999999,21.3g
SDSS J002008.22-101342.6,5.03428,-10.22851,-171,-0.000571,19.6g
WISEA J002015.48+150613.2,5.06431,15.10379,-22,-7.2e-05,22.4g
SDSS J002021.44-011148.4,5.08937,-1.19679,-118,-0.000395,21.8g
WISEA J002023.48+001642.0,5.09783,0.27837,-3,-1.1e-05,20.7g
2MASS J00203077-0045267,5.12807,-0.75752,-12,-4e-05,19.7g
2MASS J00203117-0034007,5.12984,-0.56686,-196,-0.000653,19.7g
SDSS J002032.64-011200.7,5.136,-1.20022,-155,-0.000517,21.4g
WISEA J002044.66+000107.3,5.18612,0.0188,-66,-0.000221,19.6g
WISEA J002044.77-001443.1,5.18651,-0.24531999999999998,-57,-0.00019099999999999998,19.7g
SDSS J002047.26+134501.7,5.19696,13.750470000000002,-10,-3.3e-05,22.4g
2MASS J00204948-0009537,5.2060699999999995,-0.16513,-21,-7.099999999999999e-05,19.7g
SDSS J002109.84-005923.4,5.29103,-0.98985,-931,-0.003104,22.1g
WISEA J002127.94-004212.8,5.36627,-0.7035899999999999,-49,-0.000164,18.9g
SDSS J002135.31+151516.2,5.39715,15.254529999999999,-10,-3.5e-05,20.0g
WISEA J002139.67-005230.9,5.41524,-0.87518,-20,-6.8e-05,19.6g
SDSS J002150.16+003850.9,5.45903,0.64749,-57,-0.00019099999999999998,21.0g
WISEA J002150.26+000356.5,5.45948,0.06566,-16,-5.5e-05,19.6g
2MASS J00220172-0401552,5.50697,-4.0319,-55,-0.000182,19.08
WISEA J002205.91+004344.2,5.52466,0.72902,-37,-0.000123,18.4g
WISEA J002206.72+001648.7,5.52801,0.28023000000000003,-3,-1e-05,18.8g
2MASS J00221480-0007455,5.5618300000000005,-0.12952,-24,-7.900000000000001e-05,20.1g
